Part Name,Quantity,Price,Total price (auto generated),"Requested team numbers and quantity required: USE FORMAT [TEAM LETTER, QUANTITY]",Link to part,Part number,,Subtotal:,"$1,405.54"
1x2x1x35 Aluminum C-Channel (6-pack),4,$55.99,$223.96,"[Z, 1] [T, 1] [X, 1] [S, 1]",https://www.vexrobotics.com/channel.html,276-2289,,,
1x3x1x35 Aluminum C-Channel (6-pack),4,$55.99,$223.96,"[T, 1] [X, 1] [Z, 1] [S, 1]",https://www.vexrobotics.com/channel.html,276-4359,,Total (with tax):,"$1,588.26"
48T High Strength Gear v2 (8-Pack),4,23.99,$95.96,"[T, 1] [X, 1] [Z, 1] [STL, 1]",https://www.vexrobotics.com/gears.html,276-7573,,,
Dual Acting 25mm Stroke Cylinder,2,$30.99,$61.98,"[Z, 2] ",https://www.vexrobotics.com/spare-pneumatics.html,276-8642,,iDesign Order,
Dual Acting 50mm Stroke Cylinder,10,$33.99,$339.90,"[X, 4] [T, 4] [Z, 2]",https://www.vexrobotics.com/spare-pneumatics.html,276-8644,,Pt2 Order,
"2.75"" (220mm Travel) Omni-Directional Anti-Static Wheel (2-Pack)",4,$30.99,$123.96,"[Z, 3] [X, 1]",https://www.vexrobotics.com/wheels.html,276-8106,,Out of Stock,
Low Profile Bearing Flat (10-pack),7,$7.99,$55.93,"[Z, 2] [X, 2] [T, 2] [S, 1]",https://www.vexrobotics.com/v5-bearings.html,276-8023,,,
Dual Acting 75mm Stroke Cylinder,2,$37.99,$75.98,"[Z, 2]",https://www.vexrobotics.com/spare-pneumatics.html,276-8646,,,
V5 Pneumatics Straight Fitting (10-Pack),1,$15.49,$15.49,"[STL, 1]",https://www.vexrobotics.com/spare-pneumatics.html,276-8636,,,
,,,,,,,,,
"24"" High Strength Shaft (2-Pack)",3,$18.49,$55.47,"[S, 2] [X, 1]",https://www.vexrobotics.com/hs-hardware.html,276-7465,,,
,,,,,,,,,
"1.5"" Standoffs (10 Pack)",1,$12.99,$12.99,"[X,1]",https://www.vexrobotics.com/standoffs-8-32.html,275-1017,,,
"1.0"" Standoffs (10 Pack)",1,$5.99,$5.99,"[X,1]",https://www.vexrobotics.com/standoffs-8-32.html ,275-1016,,,
1x1x35 Aluminum Angle (6-pack),2,$37.99,$75.98,"[T, 1] [X. 1]",https://idesign365.com/product/1x1x35-aluminum-angle-6-pack/,,,,
1x1x35 Aluminum Angle (6-pack),1,$37.99,$37.99,"[Z, 1]",https://idesign365.com/product/1x1x35-aluminum-angle-6-pack/,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
,,,$0.00,,,,,,
